Restaurant Name,Description,Tags,Website,Rating,Review Count,Full Address,Coordinates,Phone
Aladdin's cafe,,"Sandwich shop, American restaurant, Falafel restaurant, Gyro restaurant, Health food restaurant, Mediterranean restaurant",https://www.aladdincafetn.com/,4.6,256,"7025 Kingston Pike, Knoxville, TN 37919",35.932149599999995 -84.0244393,+1 865-312-9581
La Fiesta Mexican Restaurant,"Classic Mexican fare & cocktails offered in a relaxed, colorful cantina with quaint decor.",Mexican restaurant,nan,4.5,767,"5707 Western Ave, Knoxville, TN 37921",35.979878299999996 -84.01370349999999,+1 865-588-2599
Gallo Loco Mexican Restaurant,,Mexican restaurant,nan,4.6,1175,"80 E Tennessee Ave, Oak Ridge, TN 37830",36.0285806 -84.2385451,+1 865-685-0686
Buffalo Wild Wings,"Chain dishing up wings, tenders & burgers, plus sauces ranging from sweet to very spicy.","Chicken wings restaurant, American restaurant, Bar & grill, Takeout Restaurant, Restaurant, Sports bar",https://www.buffalowildwings.com/locations/us/tn/knoxville/11431-parkside-dr/sports-bar-230?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link,3.9,1267,"11431 Parkside Dr, Farragut, TN 37934",35.900672899999996 -84.1635118,+1 865-966-7300
Viet Taste Restaurant,,Vietnamese restaurant,nan,4.3,434,"215 N Peters Rd, Knoxville, TN 37923",35.9153279 -84.0835415,+1 865-249-8424
Taco Boy Sports Bar & Grill,,"Sports bar, Mexican restaurant",https://tacoboyknoxville.com/,4.6,683,"747 N Campbell Station Rd, Knoxville, TN 37932",35.897363399999996 -84.1759889,+1 865-288-7889
El Mezcal Mexican Restaurant,Easygoing Mexican eatery with colorful decor serving traditional fare with seafood specialties.,"Mexican restaurant, Takeout Restaurant, Restaurant",https://www.elmezcalknoxville.com/,4.5,635,"11110 Kingston Pike STE 127, Knoxville, TN 37934",35.8875901 -84.1487721,+1 865-966-6972
SoKno Taco Cantina,Modern Mexican restaurant with classic fare in a family-friendly setting with outdoor & bar seating.,Mexican restaurant,https://www.soknota.co/,4.4,2237,"3701 Sevierville Pike, Knoxville, TN 37920",35.9447907 -83.89044249999999,+1 865-851-8882
King Gyros Mediterranean Restaurant,,"Restaurant, Gyro restaurant, Mediterranean restaurant",https://kinggyrosknox.com/,4.5,185,"7600 Kingston Pike, Knoxville, TN 37919",35.9256293 -84.0383147,+1 859-420-8676
First Watch,"Cafe chain for health-minded breakfast, brunch & lunch options such as omelets, salads & soups.","Breakfast restaurant, American restaurant, Brunch restaurant, Family restaurant, Fast food restaurant, Health food restaurant, Lunch restaurant, Restaurant, Traditional American restaurant",https://www.firstwatch.com/locations/lovell-road,4.4,880,"111 Lovell Rd, Farragut, TN 37934",35.896491999999995 -84.13927699999999,+1 865-671-3447
WokChow Fire Seared Asian,"Asian dishes, including create-your-own stir-fries, in a casual dining room with eclectic decor.","Asian restaurant, Chinese restaurant, Delivery Restaurant",https://www.wokchow.com/,4.2,691,"4612 Kingston Pike, Knoxville, TN 37919",35.940422999999996 -83.9810299,+1 865-766-5457
Waffle House,"Simple chain spot offering American diner fare & all-day breakfast, including signature waffles.","Breakfast restaurant, American restaurant, Diner, Family restaurant, Takeout Restaurant, Restaurant",https://locations.wafflehouse.com/knoxville-tn-293,4.3,1878,"6230 Papermill Dr NW, Knoxville, TN 37919",35.9375461 -84.00838089999999,+1 865-588-9148
Oliver Royale,"Inventive, seasonal American dishes, cocktails & weekend brunch in a cosmopolitan atmosphere.","New American restaurant, Bar, Restaurant",https://www.oliverroyale.com/,4.5,628,"5 Market Square, Knoxville, TN 37902",35.9648301 -83.9196075,+1 865-622-6434
Bojangles,"Southern-inspired fast-food chain known for fried chicken & biscuit, plus signature sides.","Restaurant, American restaurant, Chicken restaurant, Family restaurant, Fast food restaurant, Takeout Restaurant, Sandwich shop, Southern restaurant (US)",https://locations.bojangles.com/tn/knoxville/3813-north-broadway.html,4.2,1259,"3813 N Broadway, Knoxville, TN 37917",36.006983 -83.926994,+1 865-312-9571
Shoney's - Powell,"Family-oriented chain serving an all-American diner-style menu for breakfast, lunch & dinner.","Family restaurant, American restaurant, Breakfast restaurant, Brunch restaurant, Lunch restaurant",https://www.shoneysknox.com/,4.1,1392,"315 E Emory Rd, Powell, TN 37849",36.048394 -84.003309,+1 865-947-5315
El Rey Mexican Restaurant,,"Mexican restaurant, Latin American restaurant",https://elreypowell.com/,4.3,413,"3515 W Emory Rd, Powell, TN 37849",36.0211792 -84.0511722,+1 865-947-8568
Outback Steakhouse,"Boisterous Australian-themed chain serving steaks, seafood & other hearty steakhouse fare.","Steak house, American restaurant, Australian restaurant, Bar, Bar & grill, Gluten-free restaurant, Takeout Restaurant, Restaurant",https://locations.outback.com/tennessee/knoxville/330-north-peters-road.,4.3,2026,"330 N Peters Rd, Knoxville, TN 37922",35.914766799999995 -84.09432819999999,+1 865-539-2540
Waffle House,"Simple chain spot offering American diner fare & all-day breakfast, including signature waffles.","Breakfast restaurant, American restaurant, Diner, Family restaurant, Takeout Restaurant, Restaurant",https://locations.wafflehouse.com/powell-tn-723,4.4,983,"309 E Emory Rd, Powell, TN 37849",36.047366499999995 -84.0034597,+1 865-938-9608
LongHorn Steakhouse,Casual steakhouse chain known for grilled beef & other American dishes in a ranch-style space.,"Steak house, Bar & grill, Barbecue restaurant, Family restaurant, Takeout Restaurant, Traditional American restaurant",https://www.longhornsteakhouse.com/locations/tn/farragut/farragut-turkey-creek/5460?cmpid=br:lh_ag:ie_ch:loc_ca:LHGMB_sn:gmb_gt:farragut-tn-5460_pl:locurl_rd:1400,4.5,1731,"11644 Parkside Dr, Farragut, TN 37934",35.8945769 -84.17047099999999,+1 865-966-6954
Little Bangkok,"Vast menu of Thai dishes from curries to crab rangoon, served in an airy, colorful space.","Thai restaurant, Asian restaurant, Chinese restaurant, Southeast Asian restaurant",https://www.littlebangkokknox.com/,4.4,623,"603 N Campbell Station Rd, Knoxville, TN 37934",35.8934731 -84.1750675,+1 865-675-3688
Golden Garden Chinese Restaurant,"Small, down-to-earth Chinese spot whipping up lo mein, fried rice & other takeout-style fare.","Chinese restaurant, Family restaurant, Restaurant",nan,4.6,410,"5737 Western Ave, Knoxville, TN 37921",35.9803844 -84.0149095,+1 865-588-5517
Chick-fil-A,Fast-food chain serving chicken sandwiches & nuggets along with salads & sides.,"Fast food restaurant, Breakfast restaurant, Caterer, Chicken restaurant, Delivery service, Family restaurant",https://www.chick-fil-a.com/reloturkeycreek,4.5,1212,"11068 Parkside Dr, Knoxville, TN 37934",35.9018448 -84.1515579,+1 865-675-7400
LongHorn Steakhouse,Casual steakhouse chain known for grilled beef & other American dishes in a ranch-style space.,"Steak house, Bar & grill, Barbecue restaurant, Family restaurant, Takeout Restaurant, Traditional American restaurant",https://www.longhornsteakhouse.com/locations/tn/knoxville/knoxville-west-town/5541?cmpid=br:lh_ag:ie_ch:loc_ca:LHGMB_sn:gmb_gt:knoxville-tn-5541_pl:locurl_rd:1470,4.2,1748,"7740 Kingston Pike, Knoxville, TN 37919",35.9256136 -84.0410789,+1 865-693-8700
Shoney's - Chapman Hwy,"Family-oriented chain serving an all-American diner-style menu for breakfast, lunch & dinner.","American restaurant, Breakfast restaurant, Family restaurant, Hamburger restaurant, Restaurant",https://www.shoneysknox.com/locations,4.0,1608,"2612 Chapman Hwy, Knoxville, TN 37920",35.949603599999996 -83.9132997,+1 865-573-4514
First Watch,"Cafe chain for health-minded breakfast, brunch & lunch options such as omelets, salads & soups.","Breakfast restaurant, American restaurant, Brunch restaurant, Family restaurant, Fast food restaurant, Health food restaurant, Lunch restaurant, Restaurant, Traditional American restaurant",https://www.firstwatch.com/locations/turkey-creek,4.5,675,"11682 Parkside Dr, Knoxville, TN 37934",35.892841 -84.17110559999999,+1 865-675-3447
Chipotle Mexican Grill,"Fast-food chain offering Mexican fare, including design-your-own burritos, tacos & bowls.","Mexican restaurant, Caterer, Fast food restaurant",https://locations.chipotle.com/tn/knoxville/1701-cumberland-ave?utm_source=google&utm_medium=yext&utm_campaign=yext_listings,4.2,447,"1701 Cumberland Ave, Knoxville, TN 37916",35.956620099999995 -83.93276329999999,+1 865-525-0585
Dazzo's Pizzeria,"Pizzeria offers pies with from-scratch dough, plus subs & pasta in a cheery, cafe-style space.","Pizza restaurant, Italian restaurant, Takeout Restaurant, Pizza delivery, Pizza Takeout, Restaurant",https://www.dazzospizza.com/,4.4,770,"710 S Gay St, Knoxville, TN 37902",35.9631523 -83.91675,+1 865-525-2105
Aladdin Grill & Pizza,,"Pizza restaurant, Takeout Restaurant, Pizza delivery, Restaurant",https://www.aladdingrillpizza.com/?utm_source=gbp,3.5,216,"1723 Cumberland Ave, Knoxville, TN 37916",35.956568499999996 -83.9337152,+1 865-247-4289
Pho 99,,"Pho restaurant, Vietnamese restaurant",https://pho99tn.com/,4.3,671,"9117 Executive Park Dr, Knoxville, TN 37923",35.921397299999995 -84.0878812,+1 865-357-2099
El Jinete - Oakridge's Mexican Restaurant,,"Mexican restaurant, Bar, Bar & grill, Restaurant",https://eljinetemexicanrestaurants.com/,4.6,483,"770 Briarcliff Ave, Oak Ridge, TN 37830",36.0243049 -84.2305233,+1 865-294-5170
P.F. Chang's,Family-friendly chain offering creative takes on Asian fare in a striking space.,"Chinese restaurant, Asian restaurant, Delivery Chinese restaurant, Dim sum restaurant, Takeout Restaurant, Sushi restaurant",https://www.pfchangs.com/locations/us/tn/knoxville/6741-kingston-pike/9923-knoxville.html?utm_source=YextMain&utm_medium=Directory,4.3,2177,"6741 Kingston Pike, Knoxville, TN 37919",35.9333995 -84.01817229999999,+1 865-212-5514
Steak 'n Shake,Chain known for steakburgers & milkshakes offering a dinerlike space with retro flair.,"Hamburger restaurant, American restaurant",nan,3.8,1920,"310 Wild Geese Rd, Knoxville, TN 37922",35.9022244 -84.15388899999999,+1 865-675-2551
Don Delfis Pancake House and Restaurant,,Breakfast restaurant,nan,4.3,572,"120 West End Ave #2822, Knoxville, TN 37934",35.8860543 -84.15424589999999,+1 865-288-3696
Archers BBQ,"Local BBQ chain serving ribs, plates, sandwiches & comfort sides in a relaxed setting.","Barbecue restaurant, American restaurant, Caterer, Gluten-free restaurant, Takeout Restaurant, Sandwich shop, Southern restaurant (US)",https://www.archersbbq.com/,4.5,471,"5415 Kingston Pike, Knoxville, TN 37919",35.9358128 -83.99308549999999,+1 865-394-9580
East Japanese Restaurant,,Restaurant,https://m.facebook.com/East-Japanese-Restaurant-112674475454838/,4.5,142,"11509 Kingston Pike, Farragut, TN 37934",35.881696999999996 -84.16389079999999,+1 865-671-4404
First Watch,"Cafe chain for health-minded breakfast, brunch & lunch options such as omelets, salads & soups.","Breakfast restaurant, American restaurant, Brunch restaurant, Family restaurant, Fast food restaurant, Health food restaurant, Lunch restaurant, Restaurant, Traditional American restaurant",https://www.firstwatch.com/locations/bearden-hill,4.5,1233,"6474 Kingston Pike, Knoxville, TN 37919",35.9311923 -84.009929,+1 865-249-8795
Maple Street Biscuit Company - Sherrill Hill,Casual cafe serving biscuit sandwiches & Southern sides for breakfast & lunch.,"Breakfast restaurant, Brunch restaurant, Lunch restaurant, Restaurant, Southern restaurant (US)",https://www.maplestreetbiscuits.com/sherrill-hill-2/,4.4,1188,"9314 Kingston Pike, Knoxville, TN 37922",35.909964099999996 -84.093473,+1 865-247-6793
Chipotle Mexican Grill,"Fast-food chain offering Mexican fare, including design-your-own burritos, tacos & bowls.","Mexican restaurant, Caterer, Fast food restaurant",https://locations.chipotle.com/tn/knoxville/7600-kingston-pike?utm_source=google&utm_medium=yext&utm_campaign=yext_listings,4.0,289,"7600 Kingston Pike Ste 1348A, Knoxville, TN 37919",35.925474699999995 -84.03797259999999,+1 865-407-2008
Bida Saigon,"Vietnamese favorites such as pho, vermicelli dishes & banh mi served in a down-to-earth setting.","Vietnamese restaurant, Asian restaurant, Southeast Asian restaurant",https://www.bidasaigoncafe.com/,4.5,910,"8078 Kingston Pike, Knoxville, TN 37919",35.923005599999996 -84.0498222,+1 865-694-5999
Outback Steakhouse,"Boisterous Australian-themed chain serving steaks, seafood & other hearty steakhouse fare.","Steak house, American restaurant, Australian restaurant, Bar, Bar & grill, Gluten-free restaurant, Takeout Restaurant, Restaurant",https://locations.outback.com/tennessee/knoxville/314-a-merchant-drive,4.0,1805,"314 A Merchant Dr, Knoxville, TN 37912",36.0082537 -83.972979,+1 865-281-0999
Downtown Grill & Brewery,Patrons visit for beers brewed in-house & a global menu of bar food as well as a Sunday jazz brunch.,"Bar & grill, Bar, Brewery, Family restaurant, Restaurant",https://www.downtownbrewery.com/,4.4,1983,"424 S Gay St, Knoxville, TN 37902",35.965691199999995 -83.91814769999999,+1 865-633-8111
Pei Wei Asian Kitchen,Counter-serve Pan-Asian chain for health-conscious noodle & rice dishes & more.,"Chinese restaurant, Asian fusion restaurant, Asian restaurant",https://www.peiwei.com/tennessee/204-knoxville-turkey-creek,3.9,338,"11301 Parkside Dr, Knoxville, TN 37934",35.9003665 -84.15870319999999,+1 865-966-1610
Pete's Coffee Shop,Sandwiches & other diner staples in an enduring American breakfast & lunch joint.,"Breakfast restaurant, Restaurant",https://www.petescoffeeshop.com/,4.7,1006,"540 Union Ave, Knoxville, TN 37902",35.9639297 -83.9209396,+1 865-523-2860
Zaxby's Chicken Fingers & Buffalo Wings,"Chain eatery serving up fried chicken fingers, wings, sandwiches & other American comfort food.","Chicken restaurant, Fast food restaurant",https://www.zaxbys.com/locations/tn/knoxville/2024-cumberland-ave/?utm_source=local&utm_medium=organic&utm_campaign=fb,4.1,511,"2024 Cumberland Ave, Knoxville, TN 37916",35.954285999999996 -83.937613,+1 865-545-4416
Bojangles,"Southern-inspired fast-food chain known for fried chicken & biscuit, plus signature sides.","Restaurant, American restaurant, Chicken restaurant, Family restaurant, Fast food restaurant, Takeout Restaurant, Sandwich shop, Southern restaurant (US)",https://locations.bojangles.com/tn/knoxville/9101-kingston-pike.html,4.0,398,"9101 Kingston Pike, Knoxville, TN 37923",35.9125872 -84.08466659999999,+1 865-692-1086
Chick-fil-A,Fast-food chain serving chicken sandwiches & nuggets along with salads & sides.,"Fast food restaurant, Breakfast restaurant, Caterer, Chicken restaurant, Delivery service, Family restaurant",https://www.chick-fil-a.com/emoryroad,4.6,2790,"540 E Emory Rd, Powell, TN 37849",36.0503964 -83.9937202,+1 865-938-2445
Chez Guevara Restaurant,Festive joint offering up traditional Mexican fare & margaritas in kitschy digs.,Mexican restaurant,nan,4.4,464,"8023 Kingston Pike, Knoxville, TN 37919",35.926553399999996 -84.0471839,+1 865-690-5250
Chick-fil-A,Fast-food chain serving chicken sandwiches & nuggets along with salads & sides.,"Fast food restaurant, Breakfast restaurant, Caterer, Chicken restaurant, Delivery service, Family restaurant",https://www.chick-fil-a.com/fountaincity,4.6,3425,"5100 N Broadway St, Knoxville, TN 37918",36.0318447 -83.92914379999999,+1 865-689-9661
First Watch,"Cafe chain for health-minded breakfast, brunch & lunch options such as omelets, salads & soups.","Breakfast restaurant, American restaurant, Brunch restaurant, Family restaurant, Fast food restaurant, Health food restaurant, Lunch restaurant, Restaurant, Traditional American restaurant",https://www.firstwatch.com/locations/fountain-city,4.5,918,"5144 N Broadway St, Knoxville, TN 37918",36.0328126 -83.929831,+1 865-282-3208
Bojangles,"Southern-inspired fast-food chain known for fried chicken & biscuit, plus signature sides.","Restaurant, American restaurant, Chicken restaurant, Family restaurant, Fast food restaurant, Takeout Restaurant, Sandwich shop, Southern restaurant (US)",https://locations.bojangles.com/tn/knoxville/2714-chapman-highway.html,4.0,680,"2714 Chapman Hwy, Knoxville, TN 37920",35.9486987 -83.912759,+1 865-337-5609
Petro's Chili & Chips - Emory Road,,"American restaurant, Southwestern restaurant (US)",https://www.petros.com/,4.3,356,"631 E Emory Rd, Powell, TN 37849",36.053052199999996 -83.9903793,+1 865-859-0513
TOMO POKE BOWL + RAMEN HOUSE,"Cozy Japanese joint in a strip mall offering sushi rolls, hibachi fare & sake, plus daily specials.","Japanese restaurant, Asian restaurant, Hawaiian restaurant, Poke bar, Ramen restaurant, Self service restaurant",https://tomoknoxville.com/,4.3,588,"7315 Kingston Pike, Knoxville, TN 37919",35.930859999999996 -84.030458,+1 865-584-0047
Cancun Mexican Restaurant,,"Mexican restaurant, Restaurant",https://www.cancunknox.com/,4.0,691,"4409 Chapman Hwy suite e, Knoxville, TN 37920",35.9320269 -83.9053237,+1 865-577-8881
Sonic Drive-In,"Fast-food burger & fries joint with an old-school feel, including retro drive-in service.","Fast food restaurant, Chicken restaurant, Hamburger restaurant, Ice cream shop, Restaurant",https://locations.sonicdrivein.com/tn/knoxville/2742-schaad-road.html?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link,3.8,1629,"2742 Schaad Rd, Knoxville, TN 37921",36.0046683 -84.0195617,+1 865-947-1797
Stir Fry Cafe West Hills,Thai dishes share the menu with Chinese eats & sushi at this relaxed Pan-Asian option with a patio.,"Asian fusion restaurant, Restaurant, Sushi restaurant",https://www.stirfrycafeknoxville.com/,4.3,562,"7240 Kingston Pike #128, Knoxville, TN 37919",35.9294661 -84.029401,+1 865-588-2064
Chopsticks Asian Cuisine,,Restaurant,https://www.chopsticksoakridge.com/?utm_source=gmb&utm_medium=website,3.8,104,"772 Briarcliff Ave, Oak Ridge, TN 37830",36.0243731 -84.2306993,+1 865-220-8598
Plum Tree Chinese Restaurant,No-frills eatery offering Chinese & Thai favorites including crab rangoon & pad Thai.,Chinese restaurant,https://plum-tree-chinese-restaurant.business.site/?utm_source=gmb&utm_medium=referral,4.1,358,"7052 Kingston Pike, Knoxville, TN 37919",35.9310121 -84.0249769,+1 865-588-2002
Kabuki Restaurant (Downtown),"Extensive menu of classic sushi, creative rolls, & hibachi (grill) in an interior lit with neon.","Japanese restaurant, Bar, Sushi restaurant",https://downtown.kabukitn.com/,4.0,557,"19 Market Square, Knoxville, TN 37902",35.965289999999996 -83.9198837,+1 865-521-3888
Surin of Thailand,Chain restaurant offering Thai dishes such as curries & noodles plus sushi & martinis.,"Thai restaurant, Sushi restaurant",https://surinofthailand.com/location/surin-knoxville/,4.5,958,"6213 Kingston Pike, Knoxville, TN 37919",35.932802599999995 -84.0050395,+1 865-330-0007
Brenz Pizza Co. Knoxville,,"Pizza restaurant, Caterer, Chicken wings restaurant, Pizza delivery, Pizza Takeout, Restaurant, Salad shop, Sandwich shop",https://brenzpizzaco.com/knoxville-tn,4.1,336,"1705 Cumberland Ave, Knoxville, TN 37916",35.956533 -83.93278699999999,+1 865-525-2882
Market Cocina,,"Mexican restaurant, Fast food restaurant, Taco restaurant",https://www.wholefoodsmarket.com/stores/knoxville,2.0,4,"6730 Papermill Dr NW, Knoxville, TN 37919",35.9330472 -84.015503,+1 865-291-6400
Chaiyo Thai & Sushi Bar,"Low-key Thai eatery offering curries, noodles & stir-fries, plus a variety of specialty sushi rolls.","Thai restaurant, Asian restaurant, Restaurant, Southeast Asian restaurant, Sushi restaurant",https://www.chaiyosrestaurant.com/,4.5,653,"601 James Agee St, Knoxville, TN 37916",35.959538099999996 -83.92934819999999,+1 865-249-8081
Ichiban Asian Cuisine,,"Asian restaurant, Sushi restaurant",https://www.ichibantn.com/,4.4,225,"7507 S Northshore Dr, Knoxville, TN 37919",35.9055015 -84.0196959,+1 865-690-7999
Osaka Hibachi & Sushi,"Locally owned eatery serving Japanese, Korean & Chinese meals, plus sushi rolls & a relaxed setting.","Asian restaurant, Japanese restaurant, Korean restaurant, Sushi restaurant",https://osakahibachisushi.com/,4.1,460,"3349 Sutherland Ave, Knoxville, TN 37919",35.949740999999996 -83.97418499999999,+1 865-540-3977
Archers BBQ,,"Barbecue restaurant, American restaurant, Caterer, Gluten-free restaurant, Takeout Restaurant, Sandwich shop, Southern restaurant (US)",https://www.archersbbq.com/,4.3,225,"10205 Kingston Pike, Knoxville, TN 37922",35.9020175 -84.1231433,+1 865-771-2601
IHOP,Long-standing chain serving a wide variety of pancakes & other American breakfast & diner fare.,"Breakfast restaurant, American restaurant, Family restaurant",https://restaurants.ihop.com/en-us/tn/knoxville/breakfast-313-lovell-rd-4476?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=4476&utm_content=website,3.7,1295,"313 Lovell Rd, Knoxville, TN 37934",35.9025563 -84.1412526,+1 865-671-3804
Wasabi Japanese Steakhouse,Relaxed eatery offering creative seafood rolls alongside hibachi-style entrees & raw appetizers.,"Japanese restaurant, Asian restaurant, Restaurant, Steak house, Sushi restaurant",https://www.wasabi-steakhouse.com/,4.4,2447,"226 Lovell Rd, Knoxville, TN 37934",35.900397999999996 -84.1393844,+1 865-675-0201
Chen Garden Restaurant,,Chinese restaurant,https://chengardentogo.com/,3.8,5,"7658 Oak Ridge Hwy, Knoxville, TN 37931",35.980304 -84.1053865,+1 865-560-8801
Potrillo's Taqueria & Neveria,,Mexican restaurant,https://orderpotrillostaqueriaandneveria.com/,4.5,611,"11151 Kingston Pike, Knoxville, TN 37934",35.8865742 -84.1514613,+1 865-671-4763
Krystal,"Longtime fast-food chain serving square burgers on steamed buns, plus breakfast items & kids' meals.","Fast food restaurant, Hamburger restaurant, Takeout Restaurant, Restaurant",https://krystal.olo.com/menu/krystal-knx004/?y_source=1_MjkzNjYwMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,3.7,1242,"2815 N Broadway, Knoxville, TN 37917",35.9974096 -83.9246021,+1 865-524-1837
Red Lobster,Lively chain restaurant serving American seafood standards amid New England-themed decor.,"Seafood restaurant, American restaurant, Angler fish restaurant, Bar, Crab house, Event venue, Family restaurant",https://www.redlobster.com/seafood-restaurants/locations/tn/knoxville/8040-kingston-pike/,4.2,2139,"8040 Kingston Pike, Knoxville, TN 37919",35.924076 -84.048615,+1 865-693-4651
Pardon My Cheesesteak,,"Restaurant, Delivery service",https://pardonmycheesesteak.com/?e=188559,2.0,3,"106 Major Reynolds Pl, Knoxville, TN 37919",35.9325772 -84.00855829999999,+1 888-444-0934
Tokyo Hibachi & Sushi,,"Sushi restaurant, Asian restaurant, Japanese restaurant",https://www.tokyohibachisushiknoxville.com/,4.6,216,"9420 S Northshore Dr # 103, Knoxville, TN 37922",35.862246999999996 -84.065679,+1 865-357-7281
Asian River,,"Diner, Asian restaurant, Chinese restaurant, Sushi restaurant, Thai restaurant",https://asianriverknoxville.com/,4.3,334,"6714 Central Ave Pike ste b, Knoxville, TN 37912",36.0268197 -83.9922588,+1 865-444-5800
Smoky Mountain Brewery in Turkey Creek,"Laid-back brewery featuring housemade beer on tap, multiple HDTVs, pizza, burgers & sandwiches.","Brewery, Brewpub",https://www.smoky-mtn-brewery.com/,4.2,762,"11308 Parkside Dr, Knoxville, TN 37934",35.8995178 -84.1593973,+1 865-288-5500
Wasabi Japanese Steakhouse,Relaxed eatery offering creative seafood rolls alongside hibachi-style entrees & raw appetizers.,"Japanese steakhouse, Asian restaurant, Japanese restaurant, Sushi restaurant",https://www.wasabi-steakhouse.com/,4.3,1981,"118 Major Reynolds Pl, Knoxville, TN 37919",35.933146 -84.008921,+1 865-584-4898
Asian Hibachi & sushi,,"Asian restaurant, Chinese restaurant, Sushi restaurant",nan,4.6,182,"7741 S Northshore Dr STE 101, Knoxville, TN 37919",35.9023626 -84.0229415,+1 865-539-9888
Panda Chinese Restaurant,"Unassuming establishment offering a familiar menu of Chinese food standards, plus a lunch buffet.",Chinese restaurant,https://www.pandaonwestern.com/,4.1,561,"4424 Western Ave, Knoxville, TN 37921",35.9717543 -83.9871118,+1 865-637-3732
Fulin's Asian Cuisine in Knoxville,"Sushi, sashimi & specialty rolls round out a menu of familiar Chinese & Japanese dishes.","Chinese restaurant, Asian fusion restaurant, Asian restaurant, Authentic Japanese restaurant, Restaurant, Sushi restaurant, Thai restaurant",https://tnfulinsasiancuisine.com/,4.2,390,"2060 Town Center Blvd, Knoxville, TN 37922",35.8596673 -84.0750865,+1 865-769-1515
Chick-fil-A Homberg Drive,Fast-food chain serving chicken sandwiches & nuggets along with salads & sides.,"Fast food restaurant, Chicken restaurant",https://cfawestknox.com/,4.6,1631,"4944 Kingston Pike, Knoxville, TN 37919",35.9399112 -83.98593679999999,+1 865-330-0044
Wings Etc.,"Chain pub known for chicken wings & a wide variety of sauces, with sports on TV & video games.",Bar & grill,https://wingsetc.com/knoxville/,4.1,368,"319 Lovell Rd, Knoxville, TN 37934",35.9029842 -84.1418049,+1 865-392-1021
Chick-fil-A,Fast-food chain serving chicken sandwiches & nuggets along with salads & sides.,"Fast food restaurant, Breakfast restaurant, Caterer, Chicken restaurant, Delivery service, Family restaurant",https://www.chick-fil-a.com/crownpointplaza,4.5,2403,"6564 Clinton Hwy, Knoxville, TN 37912",36.0074039 -84.0173082,+1 865-947-2416
Panda Express,"Fast-food chain for Chinese standards, including some health-conscious options.","Chinese restaurant, Asian restaurant, Fast food restaurant, Restaurant",https://www.pandaexpress.com/userlocation/2328/TN/Knoxville/11480-Parkside-Drive,3.9,538,"11480 Parkside Dr, Knoxville, TN 37934",35.898025499999996 -84.1670694,+1 865-671-6199
Pizza Inn,"Pizzeria & buffet chain offering several crust options, plus pastas & more.","Pizza restaurant, American restaurant, Buffet restaurant, Chicken wings restaurant, Family restaurant, Pasta shop, Pizza delivery, Pizza Takeout, Salad shop",https://www.pizzainn.com/locations/knoxville-tn/,4.5,2886,"5420 Clinton Hwy, Knoxville, TN 37912",36.0051974 -83.9834454,+1 865-357-7499
Dynasty Express At Fountain City,,Restaurant,https://dynastyexpressfountaincity.com/,4.3,406,"4911 N Broadway, Knoxville, TN 37918",36.0290451 -83.9288864,+1 865-689-0700
Taco Bell,"Fast-food chain serving Mexican-inspired fare such as tacos, quesadillas & nachos.","Fast food restaurant, Breakfast restaurant, Burrito restaurant, Lunch restaurant, Takeout Restaurant, Mexican restaurant, Restaurant, Taco restaurant, Tex-Mex restaurant, Vegetarian restaurant",https://locations.tacobell.com/tn/knoxville/1900-w-cumberland.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=029014&utm_content=website&y_source=1_NjE0NTU2OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,3.6,789,"1900 Cumberland Ave, Knoxville, TN 37916",35.9548233 -83.936033,+1 865-525-5099
Krystal,"Longtime fast-food chain serving square burgers on steamed buns, plus breakfast items & kids' meals.","Fast food restaurant, Hamburger restaurant, Takeout Restaurant, Restaurant",https://krystal.olo.com/menu/krystal-knx011/?y_source=1_MjkzNjYwOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,3.6,971,"8901 Kingston Pike, Knoxville, TN 37923",35.9141311 -84.0795545,+1 865-690-6868
Nama Sushi Bar - Downtown Knoxville,Traditional & new spins on seafood rolls & other Japanese dishes in relaxed surroundings.,"Sushi restaurant, Asian restaurant, Japanese restaurant, Restaurant",https://namasushibar.com/,4.4,1221,"506 S Gay St, Knoxville, TN 37902",35.9650216 -83.9179771,+1 865-633-8539
Szechuan Garden Chinese Restaurant,No-frills Chinese eatery known for a variety of Chinese entrees & local favorite hot & sour soup.,"Sichuan restaurant, Restaurant",nan,4.5,961,"4211 Chapman Hwy, Knoxville, TN 37920",35.935775 -83.9070472,+1 865-579-0889
Dragon Den Chinese Restaurant,"Restaurant offering Chinese fare, sushi & Thai dishes in a relaxed space with artwork & TVs.",Chinese restaurant,nan,3.9,250,"10205 Kingston Pike, Knoxville, TN 37922",35.9019876 -84.1232217,+1 865-691-4529
Fin-Two Japanese Ale House,,"Japanese restaurant, Izakaya restaurant, Ramen restaurant, Sushi restaurant, Yakitori restaurant",https://fin-two.com/,4.5,422,"122 S Central St, Knoxville, TN 37902",35.969805 -83.91793899999999,+1 865-437-3105
